Crop,Total_Cost_INR,Profit,Temperature_C,Rainfall_mm,Area_Hectare
Wheat,153401.52,308178.48,16.69,587.55,5.77
Wheat,300325.26,625144.74,25.08,781.27,11.92
Cotton,74235.93,318464.07,16.68,828.31,2.64
Rice,293267.31,562092.69,16.67,385.05,9.95
Wheat,56864.2,96435.8,29.76,1134.28,1.92
Cotton,78788.18,174211.82,34.93,1643.13,2.57
Wheat,92778.66,176441.34,30.53,617.39,3.9
Maize,297737.67,638262.33,14.84,685.08,10.54
Wheat,125800.88,278029.12,37.07,1855.37,5.61
Potato,133012.29,1084747.71,37.84,672.36,5.05
Potato,179043.22,1243676.78,19.87,597.74,6.14
Wheat,218345.49,452184.51,27.49,2451.25,7.76
Sugarcane,163641.73,1172553.27,25.59,332.42,5.37
Maize,305949.74,882950.26,30.71,1015.9,11.57
Rice,61122.96,152717.04,39.38,376.86,2.06
Wheat,167286.85,273713.15,39.62,2143.71,5.97
Rice,140554,392726,26.26,1583.78,5.28
Maize,226512.71,609047.29,14.57,405.49,8.47
Wheat,364876.57,695413.43,21.37,1653.8,11.58
Sugarcane,79873.37,867401.63,23.58,570.81,3.82
Cotton,246674.73,1139875.27,26.97,1390.61,11.49
Sugarcane,300393.07,2127346.93,38.89,1772.71,10.02
Sugarcane,239120.02,2175039.98,19.35,626.72,9.82
Cotton,35185.36,144114.64,27.03,1393.51,1.34
Cotton,357000.51,892599.49,20.15,1306.3,11.32
Potato,212667.08,2186972.92,37.74,2314.65,10.15
Cotton,254102.38,659997.62,39.72,2490.54,8.37
Wheat,42812.8,118047.2,36.38,1739.84,1.97
Rice,138091.22,505628.78,21.48,2180.69,5.33
Potato,297933.47,2145506.53,19.78,1723.14,10.16
Potato,169175.58,1146624.42,24.07,2227.83,5.53
Rice,168460.03,445119.97,32.93,1253.2,5.52
Potato,124992.55,748247.45,12.26,1637.58,3.61
Cotton,37199.88,130000.12,39.86,2159.37,1.09
Sugarcane,156941.96,1432968.04,36.74,2319.79,6.4
Maize,266820.59,462899.41,12.67,354.3,9.41
Cotton,64639.03,153710.97,22.7,528.7,2.18
Sugarcane,397607.8,2238102.2,31.26,2348.58,10.78
Sugarcane,201066.84,1503398.16,18.76,1550.72,6.89
Potato,267201.62,2081798.38,16,2478.42,9.84
